,id,hero,speaker,title,duration,slug,viewed_count,index
0,865,https://pe.tedcdn.com/images/ted/172559_800x600.jpg,Ken Robinson,Bring on the learning revolution!,1008,sir_ken_robinson_bring_on_the_revolution,7266103,0
1,1738,https://pe.tedcdn.com/images/ted/de98b161ad1434910ff4b56c89de71af04b8b873_1600x1200.jpg,Ken Robinson,How to escape education's death valley,1151,ken_robinson_how_to_escape_education_s_death_valley,6657572,0
2,2276,https://pe.tedcdn.com/images/ted/3821f3728e0b755c7b9aea2e69cc093eca41abe1_2880x1620.jpg,Linda Cliatt-Wayman,"How to fix a broken school? Lead fearlessly, love hard",1027,linda_cliatt_wayman_how_to_fix_a_broken_school_lead_fearlessly_love_hard,1617101,0
3,892,https://pe.tedcdn.com/images/ted/e79958940573cc610ccb583619a54866c41ef303_2880x1620.jpg,Charles Leadbeater,Education innovation in the slums,1138,charles_leadbeater_on_education,772296,0
4,1232,https://pe.tedcdn.com/images/ted/0e3e4e92d5ee8ae0e43962d447d3f790b31099b8_800x600.jpg,Geoff Mulgan,A short intro to the Studio School,376,geoff_mulgan_a_short_intro_to_the_studio_school,667971,0
5,2616,https://pe.tedcdn.com/images/ted/71cde5a6fa6c717488fb55eff9eef939a9241761_2880x1620.jpg,Kandice Sumner,How America's public schools keep kids in poverty,830,kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty,1181333,0
6,243,https://pe.tedcdn.com/images/ted/566c14767bd62c5ff760e483c5b16cd2753328cd_2880x1620.jpg,Al Gore,New thinking on the climate crisis,1674,al_gore_s_new_thinking_on_the_climate_crisis,1751408,1
7,547,https://pe.tedcdn.com/images/ted/89288_800x600.jpg,Ray Anderson,The business logic of sustainability,954,ray_anderson_on_the_business_logic_of_sustainability,881833,1
8,2093,https://pe.tedcdn.com/images/ted/146d88845861cbf768bbf8bec8b2e41f8bfc7903_2400x1800.jpg,Lord Nicholas Stern,The state of the climate — and what we might do about it,993,lord_nicholas_stern_the_state_of_the_climate_and_what_we_might_do_about_it,773779,1
9,2784,https://pe.tedcdn.com/images/ted/e835e670a7836cf65aca2a7a644fd94398cb4b8e_2880x1620.jpg,Ted Halstead,A climate solution where all sides can win,787,ted_halstead_a_climate_solution_where_all_sides_can_win,1021315,1
10,2339,https://pe.tedcdn.com/images/ted/f6879e1c78d4a069735bf745ecfede71ccf4a352_2880x1620.jpg,Alice Bows-Larkin,Climate change is happening. Here's how we adapt,863,alice_bows_larkin_we_re_too_late_to_prevent_climate_change_here_s_how_we_adapt,1157975,1
11,2331,https://pe.tedcdn.com/images/ted/64bbcc24af870d9b4e1768abe88e1fe041b02a6a_2880x1620.jpg,Mary Robinson,Why climate change is a threat to human rights,1307,mary_robinson_why_climate_change_is_a_threat_to_human_rights,1126293,1
12,1725,https://pe.tedcdn.com/images/ted/b7f415a054cc0a2bfdd90d0ad5a7f64cf060150d_1600x1200.jpg,David Pogue,10 top time-saving tech tips,344,david_pogue_10_top_time_saving_tech_tips,4843421,2
13,2274,https://pe.tedcdn.com/images/ted/608e677e4392bcdcf82b068fa221b9df74a213ef_2880x1620.jpg,Tony Fadell,The first secret of design is ... noticing,1001,tony_fadell_the_first_secret_of_design_is_noticing,2005916,2
14,172,https://pe.tedcdn.com/images/ted/b790be2f87ceffba73fe73837944400c7d61cba2_1600x1200.jpg,John Maeda,Designing for simplicity,959,john_maeda_on_the_simple_life,1215942,2
15,2664,https://pe.tedcdn.com/images/ted/092f184f6625c2aeef10949c8d7b2aa14ba4132b_2880x1620.jpg,Dan Bricklin,Meet the inventor of the electronic spreadsheet,720,dan_bricklin_meet_the_inventor_of_the_electronic_spreadsheet,992322,2
16,436,https://pe.tedcdn.com/images/ted/66438_800x600.jpg,David Carson,Design and discovery,1359,david_carson_on_design,774485,2
17,1546,https://pe.tedcdn.com/images/ted/39d58abd56cf9edd6936f4f42119a15e65692dc1_1600x1200.jpg,Clay Shirky,How the Internet will (one day) transform government,1112,clay_shirky_how_the_internet_will_one_day_transform_government,1245084,2
18,1041,https://pe.tedcdn.com/images/ted/96c703bb13a2e9c2d351a5e6b52390bc35eaad06_800x600.jpg,Majora Carter,3 stories of local eco-entrepreneurship,1079,majora_carter_3_stories_of_local_ecoactivism,702642,3
19,1892,https://pe.tedcdn.com/images/ted/f5ebbf91eb093a2da2cfe1941724a3e55d222713_1600x1200.jpg,Toni Griffin,A new vision for rebuilding Detroit,708,toni_griffin_a_new_vision_for_rebuilding_detroit,826727,3
20,2078,https://pe.tedcdn.com/images/ted/92ddb109a1f98a3745fe1b2b0d2c5519ab3931dc_2400x1800.jpg,Dan Barasch,A park underneath the hustle and bustle of New York City,377,dan_barasch_a_park_underneath_the_hustle_and_bustle_of_new_york_city,862197,3
