Speaker_ID,main_speaker
0,Ken Robinson
1,Al Gore
2,David Pogue
3,Majora Carter
4,Hans Rosling
5,Tony Robbins
6,Julia Sweeney
7,Joshua Prince-Ramus
8,Dan Dennett
9,Rick Warren
10,Cameron Sinclair
11,Jehane Noujaim
12,Larry Brilliant
13,Jeff Han
14,Nicholas Negroponte
15,Sirena Huang
16,Jennifer Lin
17,Amy Smith
18,Ross Lovegrove
19,Jimmy Wales
20,Richard Baraniuk
21,Ze Frank
22,Mena Trott
23,Helen Fisher
24,Eve Ensler
25,David Deutsch
26,Richard Dawkins
27,Steven Levitt
28,Malcolm Gladwell
29,Dan Gilbert
30,Barry Schwartz
31,Eva Vertes
32,Aubrey de Grey
33,Iqbal Quadir
34,Jacqueline Novogratz
35,Sasa Vucinic
36,Ashraf Ghani
37,Burt Rutan
38,Ben Saunders
39,Bono
40,Edward Burtynsky
41,Robert Fischell
42,Peter Donnelly
43,Michael Shermer
44,Ray Kurzweil
45,Kevin Kelly
46,Peter Gabriel
47,Richard St. John
48,Rives
49,Dean Ornish
50,Robert Neuwirth
51,Bjorn Lomborg
52,Wade Davis
53,Phil Borges
54,Martin Rees
55,Robert Wright
56,Steven Johnson
57,Charles Leadbeater
58,Pilobolus
59,Anna Deavere Smith
60,Saul Griffith
61,Neil Gershenfeld
62,Carl HonorÃ©
63,Bill Clinton
64,E.O. Wilson
65,James Nachtwey
66,Jane Goodall
67,Seth Godin
68,James Watson
69,Al Seckel
70,Dean Kamen
71,Juan Enriquez
72,Stefan Sagmeister
73,Alex Steffen
74,Thom Mayne
75,Chris Bangle
76,Nora York
77,Paul Bennett
78,Vik Muniz
79,Nick Bostrom
80,Janine Benyus
81,Craig Venter
82,Golan Levin
83,Susan Savage-Rumbaugh
84,Frans Lanting
85,Sheila Patek
86,Jill Sobule
87,Caroline Lavelle
88,Evelyn Glennie
89,William McDonough
90,Jeff Bezos
91,Eddi Reader
92,Tom Honey
93,Tom Rielly
94,Rachelle Garniez
95,Chris Anderson
96,Natalie MacMaster
97,Sergey Brin + Larry Page
98,Stew
99,James Howard Kunstler
100,David Kelley
101,Stewart Brand
102,Jeff Hawkins
103,Tierney Thys
104,Blaise AgÃ¼era y Arcas
105,John Doerr
106,Ngozi Okonjo-Iweala
107,Anand Agarawala
108,Robert Thurman
109,David Rockwell
110,Thomas Barnett
111,Ethel
112,Stephen Lawler
113,Bill Stone
114,Alan Russell
115,Jonathan Harris
116,Emily Oster
117,Will Wright
118,David Bolinsky
119,Allison Hunt
120,George Ayittey
121,William Kamkwamba
122,Euvin Naidoo
123,Patrick Awuah
124,Chris Abani
125,Vusi Mahlasela
126,Jeff Skoll
127,Erin McKean
128,Andrew Mwenda
129,Theo Jansen
130,Steven Pinker
131,Deborah Scranton
132,Zeresenay Alemseged
133,John Maeda
134,Stephen Petranek
135,Paul MacCready
136,Carolyn Porco
137,Kenichi Ebina
138,Richard Branson
139,Hod Lipson
140,Maira Kalman
141,Jan Chipchase
142,VS Ramachandran
143,Eleni Gabre-Madhin
144,Sherwin Nuland
145,Matthieu Ricard
146,Lawrence Lessig
147,Paul Rothemund
148,David Keith
149,Robert Full
150,Ron Eglash
151,Philippe Starck
152,Murray Gell-Mann
153,Amory Lovins
154,Arthur Benjamin
155,Daniel Goleman
156,Lakshmi Pratury
157,Gever Tulley
158,Isabel Allende
159,Yossi Vardi
160,Deborah Gordon
161,J.J. Abrams
162,David Gallo
163,Paola Antonelli
164,Frank Gehry
165,Raul Midon
166,Bill Strickland
167,Bernie Dunlap
168,Alison Jackson
169,Robin Chase
170,Jaime Lerner
171,David Macaulay
172,Michael Pollan
173,Howard Rheingold
174,Pamelia Kurstin
175,George Dyson
176,Moshe Safdie
177,Jill Sobule + Julia Sweeney
178,Raspyni Brothers
179,Joseph Lekuton
180,Steve Jurvetson
181,Roy Gould + Curtis Wong
182,Alan Kay
183,Jill Bolte Taylor
184,Dave Eggers
185,Karen Armstrong
186,Neil Turok
187,Norman Foster
188,Christopher deCharms
189,Clifford Stoll
190,Rokia Traore
191,Siegfried Woldhek
192,David Hoffman
193,Jakob Trollback
194,Stephen Hawking
195,Johnny Lee
196,Tod Machover + Dan Ellsey
197,Yochai Benkler
198,Ernest Madu
199,Amy Tan
200,Brian Greene
201,Brian Cox
202,They Might Be Giants
203,Hector Ruiz
204,Paul Stamets
205,Paul Ewald
206,Michael Moschen
207,Joshua Klein
208,Alisa Miller
209,Mark Bittman
210,Robert Ballard
211,Yves Behar
212,Arthur Ganson
213,Seyi Oyesola
214,Paul Collier
215,Susan Blackmore
216,Nathan Myhrvold
217,Chris Jordan
218,Adam Grosser
219,Benjamin Zander
220,Nellie McKay
221,Sxip Shirey + Rachelle Garniez
222,Peter Diamandis
223,Rick Smolan
224,Corneille Ewango
225,Torsten Reil
226,Clay Shirky
227,Freeman Dyson
228,Billy Graham
229,AJ Jacobs
230,Keith Barry
231,Martin Seligman
232,Marisa Fick-Jordan
233,Louise Leakey
234,Reed Kroloff
235,Kwabena Boahen
236,Robert Lang
237,Bruno Bowden + Rufus Cappadocia
238,Patricia Burchat
239,Spencer Wells
240,David Griffin
241,Lennart Green
242,Ian Dunbar
243,John Q. Walker
244,Sugata Mitra
245,Ory Okolloh
246,Einstein the Parrot
247,Peter Hirshberg
248,Jonathan Drori
249,Irwin Redlener
250,Brewster Kahle
251,Carmen Agra Deedy
252,Keith Bellows
253,Ann Cooper
254,Jonathan Haidt
255,David S. Rose
256,Marvin Minsky
257,Philip Zimbardo
258,Laura Trice
259,Caleb Chung
260,Rodney Brooks
261,Noah Feldman
262,Liz Diller
263,David Perry
264,Doris Kearns Goodwin
265,James Burchfield
266,Garrett Lisi
267,Virginia Postrel
268,John Hodgman
269,Mihaly Csikszentmihalyi
270,Kristen Ashburn
271,Jared Diamond
272,Zach Kaplan + Keith Schacht
273,Newton Aduaka
274,Jackie Tabick
275,Dayananda Saraswati
276,James Forbes
277,Feisal Abdul Rauf
278,Graham Hawkes
279,James Surowiecki
280,John Francis
281,Tim Brown
282,Luca Turin
283,Lee Smolin
284,Samantha Power
285,Charles Elachi
286,Ursus Wehrli
287,Isaac Mizrahi
288,Franco Sacchi
289,George Smoot
290,Bill Joy
291,Dan Barber
292,Andy Hobsbawm
293,Gregory Petsko
294,Richard Preston
295,Philip Rosedale
296,Larry Burns
297,Nick Sears
298,David Holt
299,Eva Zeisel
300,Dennis vanEngelsdorp
301,Jay Walker
302,Benjamin Wallace
303,Penelope Boston
304,Steven Strogatz
305,Jennifer 8. Lee
306,Kary Mullis
307,Paul Sereno
308,Paul Moller
309,Greg Lynn
310,Rob Forbes
311,Scott McCloud
312,Peter Reinhart
313,Joseph Pine
314,Paula Scher
315,David Carson
316,Jamais Cascio
317,Barry Schuler
318,Woody Norris
319,Peter Ward
320,Aimee Mullins
321,Joe DeRisi
322,Bill Gross
323,Bill Gates
324,Elizabeth Gilbert
325,Milton Glaser
326,David Merrill
327,JosÃ© Antonio Abreu
328,Gustavo Dudamel and the Teresa CarreÃ±o Youth Orchestra
329,Sylvia Earle
330,Jill Tarter
331,Ed Ulbrich
332,Charles Moore
333,Richard Pyle
334,Miru Kim
335,Evan Williams
336,Brenda Laurel
337,Willie Smits
338,Nalini Nadkarni
339,Mike Rowe
340,Eric Lewis
341,Don Norman
342,Pattie Maes + Pranav Mistry
343,Stuart Brown
344,Tim Berners-Lee
345,Dan Ariely
346,Adam Savage
347,Bruce McCall
348,Kamal Meattle
349,John Wooden
350,Nathan Wolfe
351,C.K. Williams
352,Jacek Utko
353,Ueli Gegenschatz
354,Christopher C. Deam
355,P.W. Singer
356,Nathaniel Kahn
357,Bruce Bueno de Mesquita
358,Bonnie Bassler
359,Emily Levine
360,Renny Gleeson
361,Shai Agassi
362,Gregory Stock
363,JoAnn Kuchera-Morin
364,Tim Ferriss
365,Matthew Childs
366,Margaret Wertheim
367,Niels Diffrient
368,Erik Hersman
369,Nate Silver
370,Ben Katchor
371,Alex Tabarrok
372,Michael Merzenich
373,Sarah Jones
374,Laurie Garrett
375,Sean Gourley
376,Mae Jemison
377,Tom Shannon
378,Louise Fresco
379,Nandan Nilekani
380,Naturally 7
381,Ray Anderson
382,Mary Roach
383,Joachim de Posada
384,Michelle Obama
385,Kaki King
386,Liz Coleman
387,Yann Arthus-Bertrand
388,Felix Dennis
389,Pete Alcorn
390,John La Grou
391,Kevin Surace
392,Nancy Etcoff
393,Jane Poynter
394,Diane Benscoter
395,Catherine Mohr
396,Qi Zhang
397,Katherine Fulton
398,Ray Zahab
399,Daniel Libeskind
400,Eames Demetrios
401,Tom Wujec
402,Sophal Ear
403,Olafur Eliasson
404,Daniel Kraft
405,Jim Fallon
406,Nina Jablonski
407,Gordon Brown
408,Alain de Botton
409,Elaine Morgan
410,Willard Wigan
411,Michael Pritchard
412,Paul Romer
413,Emmanuel Jal
414,Dan Pink
415,Eric Giler
416,Natasha Tsakos
417,Cary Fowler
418,Joshua Silver
419,Geoff Mulgan
420,Evan Grant
421,Steve Truglia
422,James Balog
423,Lewis Pugh
424,Rebecca Saxe
425,Vishal Vaid
426,Misha Glenny
427,Bjarke Ingels
428,John Lloyd
429,Oliver Sacks
430,Imogen Heap
431,Jonathan Zittrain
432,Evgeny Morozov
433,Taryn Simon
434,Parag Khanna
435,Garik Israelian
436,Carolyn Steel
437,David Logan
438,Chimamanda Ngozi Adichie
439,Beau Lotto
440,Sam Martin
441,Eric Sanderson
442,David Hanson
443,Rory Sutherland
444,Henry Markram
445,Julian Treasure
446,John Gerzema
447,Paul Debevec
448,Itay Talgam
449,Marc Koska
450,Ian Goldin
451,Rachel Armstrong
452,Becky  Blanton
453,Marcus du Sautoy
454,Matthew White
455,Stefana Broadbent
456,Rachel Pike
457,Cynthia Schneider
458,Pranav Mistry
459,Mathieu Lehanneur
460,Fields Wicker-Miurin
461,Devdutt Pattanaik
462,Rob Hopkins
463,Magnus Larsson
464,Mallika Sarabhai
465,Shashi Tharoor
466,Andrea Ghez
467,Anupam Mishra
468,Scott Kim
469,Sunitha Krishnan
470,Rory  Bremner
471,Marc Pachter
472,Thulasiraj Ravilla
473,Shereen El Feki
474,Loretta Napoleoni
475,Ryan Lobo
476,Alexis Ohanian
477,Charles Anderson
478,James Geary
479,Shaffi Mather
480,Steven  Cowley
481,Asher Hasan
482,Michael Sandel
483,Cat Laine
484,Bertrand Piccard
485,Vilayanur Ramachandran
486,Nick Veasey
487,Dan Buettner
488,Romulus Whitaker
489,Herbie Hancock
490,Randy Pausch
491,Robert Sapolsky
492,Matt Weinstein
493,Kartick Satyanarayan
494,Kiran Sethi
495,Lalitesh Katragadda
496,Edwidge Danticat
497,Charles Fleischer
498,David Blaine
499,Ravin Agrawal
500,Anthony Atala
501,Sivamani
502,Taylor Mali
503,Bill Davenhall
504,Jane Chen
505,Derek Sivers
506,JK Rowling
507,Sendhil Mullainathan
508,Jamie Heywood
509,George Whitesides
510,David Agus
511,"Tom Shannon, John Hockenberry"
512,Peter Eigen
513,Jamie Oliver
514,David Cameron
515,Philip K. Howard
516,Eric Topol
517,Temple Grandin
518,Pawan Sinha
