,index,tags
0,0,children
1,0,creativity
2,0,culture
3,0,dance
4,0,education
5,0,parenting
6,0,teaching
7,1,alternative
8,1,energy
9,1,cars
10,1,climate
11,1,change
12,1,culture
13,1,environment
14,1,global
15,1,issues
16,1,science
17,1,sustainability
18,1,technology
19,2,computers
20,2,entertainment
21,2,interface
22,2,design
23,2,media
24,2,music
25,2,performance
26,2,simplicity
27,2,software
28,2,technology
29,3,MacArthur
30,3,grant
31,3,activism
32,3,business
33,3,cities
34,3,environment
35,3,green
36,3,inequality
37,3,politics
38,3,pollution
39,4,Africa
40,4,Asia
41,4,Google
42,4,demo
43,4,economics
44,4,global
45,4,development
46,4,global
47,4,issues
48,4,health
49,4,math
50,4,statistics
51,4,visualizations
52,5,business
53,5,culture
54,5,entertainment
55,5,goal-setting
56,5,motivation
57,5,potential
58,5,psychology
59,6,Christianity
60,6,God
61,6,atheism
62,6,comedy
63,6,culture
64,6,humor
65,6,performance
66,6,religion
67,6,storytelling
68,7,architecture
69,7,collaboration
70,7,culture
71,7,design
72,7,library
73,8,God
74,8,TED
75,8,Brain
76,8,Trust
77,8,atheism
78,8,brain
79,8,cognitive
80,8,science
81,8,consciousness
82,8,evolution
83,8,philosophy
84,8,religion
85,9,Christianity
86,9,God
87,9,culture
88,9,happiness
89,9,leadership
90,9,motivation
91,9,philanthropy
92,9,religion
93,10,activism
94,10,architecture
95,10,collaboration
96,10,culture
97,10,design
98,10,disaster
99,10,relief
100,10,global
101,10,issues
102,10,invention
103,10,open-source
104,10,philanthropy
105,11,TED
106,11,Prize
107,11,art
108,11,culture
109,11,entertainment
110,11,film
111,11,global
112,11,issues
113,11,movies
114,11,peace
115,11,social
116,11,change
117,11,storytelling
118,12,TED
119,12,Prize
120,12,collaboration
121,12,disease
122,12,ebola
123,12,global
124,12,issues
125,12,health
126,12,science
127,12,technology
128,13,demo
129,13,design
130,13,interface
131,13,design
132,13,technology
133,14,children
134,14,design
135,14,education
136,14,entrepreneur
137,14,global
138,14,issues
139,14,philanthropy
140,14,social
141,14,change
142,14,technology
143,15,entertainment
144,15,music
145,15,performance
146,15,violin
147,15,wunderkind
148,15,youth
149,16,creativity
150,16,entertainment
151,16,music
152,16,performance
153,16,piano
154,16,wunderkind
155,17,MacArthur
156,17,grant
157,17,alternative
158,17,energy
159,17,design
160,17,engineering
161,17,global
162,17,issues
163,17,industrial
164,17,design
165,17,invention
166,17,simplicity
167,18,DNA
168,18,biology
169,18,creativity
170,18,design
171,18,industrial
172,18,design
173,18,invention
174,18,nature
175,18,product
176,18,design
177,18,science
178,18,and
179,18,art
180,19,business
181,19,collaboration
182,19,culture
183,19,invention
184,19,media
185,19,open-source
186,19,technology
187,19,wikipedia
188,20,business
189,20,collaboration
190,20,culture
191,20,global
192,20,issues
193,20,library
194,20,open-source
195,20,technology
196,21,collaboration
197,21,comedy
198,21,community
199,21,culture
200,21,dance
201,21,demo
202,21,entertainment
203,21,humor
204,21,performance
205,21,software
206,22,business
207,22,communication
208,22,community
209,22,culture
210,22,design
211,22,entertainment
212,22,software
213,22,storytelling
214,23,cognitive
215,23,science
216,23,culture
217,23,evolution
218,23,gender
219,23,love
220,23,psychology
221,23,relationships
222,23,science
223,24,culture
224,24,entertainment
225,24,gender
226,24,global
227,24,issues
228,24,happiness
229,24,performance
230,24,storytelling
231,24,theater
232,24,women
233,25,climate
234,25,change
235,25,cosmos
236,25,culture
237,25,environment
238,25,global
239,25,issues
240,25,physics
241,25,science
242,25,technology
243,25,universe
244,26,astronomy
245,26,biology
246,26,cognitive
247,26,science
248,26,cosmos
249,26,evolution
250,26,physics
251,26,psychology
252,26,science
253,27,business
254,27,cities
255,27,culture
256,27,economics
257,27,narcotics
258,27,race
259,28,business
260,28,choice
261,28,consumerism
262,28,culture
263,28,economics
264,28,food
265,28,marketing
266,28,media
267,28,storytelling
268,29,TED
269,29,Brain
270,29,Trust
271,29,brain
272,29,choice
273,29,culture
274,29,evolution
275,29,happiness
